Country Name,Country Code,Series Name,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018
Malaysia,MYS,GDP growth (annual %),6.137612015,8.858868177,0.517675319,5.390988299,5.788499284,6.783437734,5.332139149,5.584847072,6.29878593,4.831769887,-1.513528719,7.424847386,5.29391284,5.473454192,4.69372252,6.00672195,5.091515721,4.223410194,5.897009293,4.723633667
Maldives,MDV,GDP growth (annual %),6.175655828,3.845810392,-3.943634354,7.268386313,13.75004982,6.033754049,-13.12905343,26.1114935,7.713867271,9.485332661,-7.228841465,7.265129068,8.566733531,2.517383942,7.281073979,7.329606386,2.884567526,7.28918633,6.911694465,6.053235368
Mali,MLI,GDP growth (annual %),5.700943654,-0.060834972,15.37623946,3.106308252,9.119041995,1.559998661,6.534762657,4.66218688,3.493616811,4.773382727,4.6790657,5.413452222,3.240252913,-0.836178866,2.303584809,7.043356204,5.962581591,5.799999995,5.400000103,4.899995745
Malta,MLT,GDP growth (annual %),4.719974882,6.770193911,0.608353735,2.982818376,2.543768573,0.443412531,3.783652259,1.828716884,3.986448706,3.346512731,-2.462277722,3.542683214,1.337066989,2.682970416,4.540005063,8.532470045,10.66106138,5.704630128,6.705510407,6.552731679
Marshall Islands,MHL,GDP growth (annual %),-2.397154781,5.890694312,5.363361509,2.615853563,0.17013309,0.118540225,2.915454115,1.436703373,3.653172192,-1.644874333,-1.63596768,6.453637685,1.206520774,3.457866763,2.860079216,-0.756942819,-0.364546612,1.910494988,3.599971042,2.5
Mauritania,MRT,GDP growth (annual %),7.712825411,-0.430406256,2.008796925,0.665004156,5.978253348,5.74742354,8.969422318,18.86909934,2.817836772,1.079967167,-1.042081704,4.773697175,4.704066531,5.795078172,6.090258732,5.579543856,1.399999997,2,3.02948016,3.600000006
Mauritius,MUS,GDP growth (annual %),2.610932321,8.202791804,3.34754068,1.614918663,5.925445496,4.330019834,1.777543046,4.865544606,5.727016147,5.386962558,3.31507699,4.377203227,4.077538076,3.49611836,3.360406098,3.744575777,3.553071704,3.837932654,3.814152108,3.773818909
Mexico,MEX,GDP growth (annual %),2.753554247,4.942453715,-0.404390127,-0.039844481,1.446382684,3.92059081,2.307807066,4.495077894,2.291445714,1.143584587,-5.285744137,5.118118143,3.66300793,3.642322679,1.354091962,2.804340128,3.287991599,2.921615165,2.069715185,1.994206817
"Micronesia, Fed. Sts.",FSM,GDP growth (annual %),1.383750704,4.5632095,1.747193334,0.599899534,1.946828691,-3.130759374,2.056752063,-0.130715913,-1.962406049,-2.217724288,1.177192743,2.041890243,3.347067156,-1.989479307,-3.858525094,-2.156058931,4.931500557,0.700002436,3.199981628,1.4
Middle East & North Africa,MEA,GDP growth (annual %),1.734369044,5.762919084,1.216663007,1.598855701,5.477625541,8.019475299,5.046369872,6.036980067,5.170222912,4.486541604,0.51840414,5.046856195,3.694172409,3.879791822,2.688896743,2.921146462,2.509975644,4.823190301,1.604305246,2.368208533
Middle East & North Africa (excluding high income),MNA,GDP growth (annual %),4.266551265,4.445544218,2.227188256,3.333567661,2.784811429,8.012125881,4.539043091,5.490975025,6.100123038,3.52300067,2.555719496,5.271638711,-0.929361354,2.804807002,1.662707342,2.092883423,0.984977951,7.502678138,3.042903434,
Middle East & North Africa (IDA & IBRD countries),TMN,GDP growth (annual %),4.232020053,4.555167629,2.312269747,3.436991807,2.722703643,7.997818629,4.499786797,5.553422129,6.097153869,3.507453618,2.517655773,5.252958893,-1.019896821,2.777994064,1.658286803,2.111110862,0.965836222,7.525099116,3.042142891,
Middle income,MIC,GDP growth (annual %),3.181990236,5.607039482,3.406706134,4.319869899,5.390191891,7.749995206,7.001143742,7.934905775,8.467419362,5.587922854,2.255333017,7.368550205,5.969235794,5.12164206,5.11517399,4.400923907,3.902790831,4.259565125,4.856024965,4.598299582
Moldova,MDA,GDP growth (annual %),-3.368254442,2.107716052,6.100000281,7.799999787,6.599999906,7.39999984,7.500000095,4.799999869,3.000000199,7.8000001,-6.000000259,7.100000092,5.818166405,-0.589734135,9.043865528,4.999625584,-0.338235296,4.408886743,4.690793428,4
Monaco,MCO,GDP growth (annual %),3.300542834,3.910229226,2.187732536,1.026495079,1.087536596,2.470484448,1.895415281,5.803936536,14.42889902,0.73180068,-11.31750715,2.054293852,7.07370085,0.984960325,9.570798785,7.179636849,4.942329761,3.213848834,-3.5,
Mongolia,MNG,GDP growth (annual %),3.07036901,1.146062137,2.952710544,4.732978465,7.004634575,10.62540596,7.25366544,8.556234809,10.24801636,8.900367946,-1.268598941,6.365161685,17.29077758,12.31981985,11.64891619,7.885225482,2.379835807,1.168393456,5.30166847,6.948838685
Montenegro,MNE,GDP growth (annual %),-9.399997528,3.099997417,1.099842719,1.90393392,2.482659361,4.426052958,4.180601527,8.566419508,6.810099791,7.222789984,-5.795092859,2.734341541,3.228450387,-2.723768654,3.549013918,1.783682046,3.390420876,2.949338685,4.716464962,4.854443645
Morocco,MAR,GDP growth (annual %),1.081332562,1.912872981,7.319967454,3.121449656,5.961162155,4.797018362,3.291639684,7.574631645,3.531594152,5.923277686,4.243757321,3.815717917,5.245697297,3.009961262,4.5354242,2.669493927,4.536378168,1.125977451,4.087506817,2.950062019
Mozambique,MOZ,GDP growth (annual %),7.822974027,1.678502985,12.72096582,8.794057581,6.500606668,7.811186108,8.720667877,9.851055465,7.426060991,6.876205447,6.351970259,6.687221601,7.117606668,7.198185828,7.141683329,7.444069441,6.593985957,3.763275593,3.736958241,3.264865871
Myanmar,MMR,GDP growth (annual %),10.94512998,13.74593056,11.34399707,12.02551343,13.84399689,13.56466162,13.56895002,13.07610138,11.99143524,10.25530539,10.5500091,9.634439452,5.591482378,7.332670447,8.426001025,7.990915597,6.99284029,5.862472915,6.758628824,6.200051072
Namibia,NAM,GDP growth (annual %),3.369278383,3.492183429,1.177948639,4.788661276,4.239794373,12.269548,2.529262728,7.073175228,5.374044222,2.649811967,0.2959709,6.039249546,5.091338198,5.061682013,5.614719701,6.351677961,6.086376114,1.123168867,-0.867877108,-0.074676825
Nauru,NRU,GDP growth (annual %),,,,,,,,,,34.41929066,8.659698371,13.55082678,11.68452207,10.08655154,34.21498251,36.52409809,2.808191226,10.400004,4.154685104,-3.47826087
Nepal,NPL,GDP growth (annual %),4.412573271,6.199999988,4.799892149,0.120143175,3.945037767,4.682603245,3.479181046,3.364614788,3.411560276,6.104639142,4.53307872,4.81641465,3.421828241,4.781192258,4.128877676,5.988984661,3.322905439,0.588678499,7.90574161,6.289762173
Netherlands,NLD,GDP growth (annual %),5.034048109,4.195642466,2.326955127,0.217273557,0.155646051,1.984945703,2.050876074,3.460989006,3.772842505,2.170324787,-3.666884007,1.342739444,1.551189245,-1.030353997,-0.130175239,1.423395401,1.959169699,2.191713725,2.868832199,2.673367276
New Caledonia,NCL,GDP growth (annual %),0.900172502,2.100108842,,,,,,,,,,,,,,,,,,
New Zealand,NZL,GDP growth (annual %),5.455878256,2.903323781,3.469375679,4.680319746,4.563096765,4.033887944,3.32140288,2.843982348,3.013111653,-1.008893927,-0.213698252,1.5392456,2.334200281,2.225965502,2.575386016,3.71553302,3.584704557,3.64579895,3.128460818,2.782674165
Nicaragua,NIC,GDP growth (annual %),7.035970573,4.101590155,2.960843554,0.753938895,2.520732899,5.312170527,4.282398312,4.1520692,5.076352018,3.435716936,-3.292665159,4.410099117,6.316685535,6.496136543,4.927094063,4.7854602,4.792267648,4.563147375,4.675475377,-3.815710169
Niger,NER,GDP growth (annual %),-0.568758332,-1.40950935,7.104340612,2.999122036,5.299999998,0.100000001,4.499999999,5.800000002,3.146570396,9.587695728,-0.71267743,8.36421953,2.283008487,11.84981918,5.268414897,7.529043068,4.337072369,4.925930933,4.893436692,5.172698263
Nigeria,NGA,GDP growth (annual %),0.584126895,5.015934757,5.917684652,15.32915574,7.34719497,9.250558228,6.438516525,6.059428031,6.591130361,6.764472778,8.036925102,8.005655915,5.307924204,4.230061175,6.671335393,6.309718656,2.652693295,-1.61686895,0.80588662,1.937268068
North America,NAC,GDP growth (annual %),4.7916143,4.229748645,1.07485044,1.863253131,2.757706966,3.729236861,3.482480344,2.833683569,1.894387575,-0.0266708,-2.577838168,2.612244506,1.703697389,2.198391207,1.887611618,2.492075092,2.662726012,1.521958402,2.291170807,2.761877061
North Macedonia,MKD,GDP growth (annual %),4.339027913,4.549135783,-3.067256625,1.493665472,2.222601657,4.67444497,4.723733083,5.137025162,6.473486858,5.47200139,-0.358614857,3.358750858,2.339886045,-0.455922696,2.924726568,3.629641308,3.855610302,2.848441461,0.240521014,2.664591889
Northern Mariana Islands,MNP,GDP growth (annual %),,,,,0.408441116,-3.118644068,-12.66620014,-6.891025641,-6.712564544,-11.0701107,-17.53112033,1.383647799,-7.692307692,0.537634409,2.406417112,3.785900783,3.396226415,28.22384428,25.14231499,
Norway,NOR,GDP growth (annual %),2.013307556,3.205285075,2.085328035,1.437708805,0.919841888,3.959038032,2.624720535,2.395092468,2.985054837,0.480744476,-1.690996963,0.691663072,0.971934879,2.721626792,1.044389078,1.975117446,1.970052934,1.187354764,1.980437749,1.446029641
Not classified,INX,GDP growth (annual %),,,,,,,,,,,,,,,,,,,,
